               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025115,            0.054495,             0.01257,             0.93253,             0.95411,             0.96739,             0.73187,            0.031444,             0.11465,            0.003855,            0.070183,            0.003313,            0.003313
                   1,            0.032893,            0.060774,            0.014968,             0.92989,             0.92418,             0.96811,             0.63613,            0.036247,             0.12484,           0.0050756,            0.040139,           0.0066025,           0.0066025
                   2,            0.036357,            0.065149,            0.016541,             0.90514,             0.88183,             0.95638,              0.6293,            0.038372,             0.12459,           0.0079684,            0.010051,           0.0098479,           0.0098479
                   3,             0.03671,            0.066383,            0.018234,             0.89468,             0.89818,             0.97027,             0.69294,            0.034203,             0.12179,           0.0063118,            0.009802,            0.009802,            0.009802
                   4,            0.036404,            0.068115,            0.018906,             0.88716,             0.91731,             0.96672,              0.6572,            0.034439,              0.1299,           0.0066777,            0.009802,            0.009802,            0.009802
                   5,            0.035338,            0.066414,            0.018955,             0.87706,             0.92148,             0.96342,             0.62577,            0.037537,             0.12491,           0.0062351,            0.009736,            0.009736,            0.009736
                   6,            0.035877,            0.070182,             0.01892,             0.91557,             0.88293,             0.93688,             0.65198,            0.035658,             0.12527,           0.0072263,             0.00967,             0.00967,             0.00967
                   7,            0.036159,             0.06348,            0.019235,             0.89997,             0.90696,             0.97233,             0.68574,            0.032548,              0.1173,           0.0060492,            0.009604,            0.009604,            0.009604
                   8,            0.034927,            0.069168,            0.017621,              0.8935,             0.92047,              0.9726,             0.71916,            0.031358,             0.11691,           0.0059988,            0.009538,            0.009538,            0.009538
                   9,            0.035012,            0.065287,            0.018279,             0.93609,             0.89263,             0.96814,             0.67929,             0.03307,             0.12188,           0.0058629,            0.009472,            0.009472,            0.009472
                  10,            0.034972,            0.065008,            0.017917,             0.90991,             0.92809,             0.96782,              0.6761,             0.03416,             0.12069,            0.005993,            0.009406,            0.009406,            0.009406
                  11,            0.034804,            0.064782,            0.017696,             0.88809,              0.9269,             0.96665,             0.69676,            0.031931,             0.11874,           0.0064291,             0.00934,             0.00934,             0.00934
                  12,            0.034368,            0.066238,            0.017858,             0.89595,             0.90438,             0.96248,             0.74382,            0.030392,             0.11528,           0.0071758,            0.009274,            0.009274,            0.009274
                  13,            0.034076,            0.065624,            0.017486,             0.91697,             0.94164,             0.96189,             0.67564,            0.031053,             0.11813,           0.0062075,            0.009208,            0.009208,            0.009208
                  14,            0.033769,            0.062756,            0.017749,             0.93417,             0.91661,             0.97764,             0.71182,            0.030959,             0.11439,           0.0057951,            0.009142,            0.009142,            0.009142
                  15,            0.033456,             0.06557,            0.017723,             0.96202,             0.90616,              0.9704,             0.74161,            0.030786,             0.11636,           0.0051514,            0.009076,            0.009076,            0.009076
                  16,            0.033454,            0.063927,            0.017218,             0.90715,             0.93923,             0.97305,             0.70059,            0.030238,             0.11315,           0.0056659,             0.00901,             0.00901,             0.00901
                  17,             0.03366,            0.064791,            0.016609,             0.95635,             0.88478,             0.95535,             0.72442,             0.02986,              0.1126,           0.0063999,            0.008944,            0.008944,            0.008944
                  18,            0.032282,            0.062716,            0.018118,             0.92395,             0.92061,             0.96273,              0.7213,            0.029553,             0.11424,           0.0049205,            0.008878,            0.008878,            0.008878
                  19,             0.03381,            0.066359,            0.017296,             0.95227,             0.92579,             0.96997,             0.71949,            0.030221,             0.11585,           0.0057489,            0.008812,            0.008812,            0.008812
                  20,            0.033375,            0.063811,             0.01652,             0.95845,             0.89092,             0.96435,             0.73702,            0.028834,             0.11221,           0.0051934,            0.008746,            0.008746,            0.008746
