               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02026,           0.0066805,           0.0032415,             0.98865,                   1,               0.995,             0.75977,            0.020377,           0.0069047,          0.00046857,            0.070222,           0.0033086,           0.0033086
                   1,            0.021321,           0.0065314,           0.0032649,             0.98835,                   1,               0.995,             0.74617,            0.023509,           0.0071367,          0.00042046,              0.0402,           0.0066201,           0.0066201
                   2,            0.025918,           0.0067916,           0.0037197,             0.96907,             0.99927,               0.995,             0.64583,             0.02804,           0.0075428,          0.00069673,            0.010156,           0.0099095,           0.0099095
                   3,            0.028091,           0.0071225,           0.0040084,              0.9901,                   1,               0.995,             0.58897,            0.033262,           0.0074185,          0.00098169,            0.009901,            0.009901,            0.009901
                   4,            0.027985,           0.0073856,           0.0039605,             0.98585,                   1,               0.995,             0.60208,            0.030306,           0.0073296,           0.0010774,            0.009901,            0.009901,            0.009901
                   5,            0.027285,           0.0074132,           0.0046356,              0.9735,                   1,             0.99471,             0.63299,            0.032971,           0.0076435,          0.00085697,            0.009868,            0.009868,            0.009868
                   6,            0.027251,             0.00732,           0.0042786,             0.98088,                   1,               0.995,             0.68108,            0.024151,           0.0071607,          0.00088678,            0.009835,            0.009835,            0.009835
                   7,            0.028248,            0.007502,           0.0042605,             0.99203,                   1,               0.995,             0.66968,            0.027854,           0.0071882,           0.0007998,            0.009802,            0.009802,            0.009802
                   8,             0.02665,           0.0071988,           0.0047976,             0.98667,                   1,               0.995,             0.71827,            0.024247,           0.0070441,          0.00073347,            0.009769,            0.009769,            0.009769
                   9,            0.026673,           0.0070114,           0.0045919,             0.98269,                   1,               0.995,              0.6793,            0.024125,           0.0072927,          0.00067327,            0.009736,            0.009736,            0.009736
                  10,            0.026232,           0.0069032,           0.0038251,             0.98818,                   1,               0.995,              0.6627,            0.026733,            0.007254,          0.00073446,            0.009703,            0.009703,            0.009703
                  11,            0.026362,           0.0066761,           0.0042086,             0.98686,                   1,               0.995,              0.6882,             0.02775,           0.0071276,          0.00073556,             0.00967,             0.00967,             0.00967
                  12,            0.026477,           0.0072176,           0.0042029,             0.98613,                   1,               0.995,             0.69767,            0.023875,            0.006867,          0.00063309,            0.009637,            0.009637,            0.009637
                  13,            0.025427,           0.0066646,           0.0035789,             0.97709,                   1,               0.995,             0.63076,            0.026536,           0.0074692,          0.00065386,            0.009604,            0.009604,            0.009604
                  14,            0.025288,           0.0067894,             0.00375,             0.98749,             0.99983,               0.995,             0.68376,            0.024557,           0.0068738,          0.00064938,            0.009571,            0.009571,            0.009571
                  15,            0.026806,           0.0071517,           0.0039791,             0.98994,                   1,               0.995,             0.56426,            0.030788,           0.0072092,          0.00074938,            0.009538,            0.009538,            0.009538
                  16,            0.026111,           0.0068985,           0.0038016,             0.98756,                   1,               0.995,             0.61478,            0.029291,           0.0072179,          0.00069572,            0.009505,            0.009505,            0.009505
                  17,            0.026407,           0.0069332,           0.0046377,             0.98272,                   1,               0.995,             0.65272,              0.0268,           0.0071075,          0.00069741,            0.009472,            0.009472,            0.009472
                  18,             0.02552,           0.0068735,            0.003764,             0.98391,                   1,               0.995,             0.64267,            0.027344,           0.0070406,          0.00068265,            0.009439,            0.009439,            0.009439
                  19,            0.025623,           0.0068481,           0.0039169,             0.98974,                   1,               0.995,             0.63368,            0.025915,           0.0069541,          0.00069907,            0.009406,            0.009406,            0.009406
                  20,            0.026271,           0.0069355,           0.0035636,             0.98868,                   1,               0.995,              0.7158,             0.02298,           0.0070519,          0.00076927,            0.009373,            0.009373,            0.009373
                  21,            0.025221,           0.0067144,           0.0035018,             0.98669,                   1,               0.995,             0.66901,            0.031756,           0.0073992,          0.00062435,             0.00934,             0.00934,             0.00934
                  22,            0.025772,           0.0068097,           0.0039134,             0.98586,                   1,               0.995,             0.71305,            0.022971,           0.0071698,           0.0007627,            0.009307,            0.009307,            0.009307
                  23,            0.024885,           0.0065998,           0.0038686,             0.98546,                   1,               0.995,             0.67226,            0.025374,            0.007069,          0.00061759,            0.009274,            0.009274,            0.009274
                  24,            0.024989,           0.0066354,           0.0035308,             0.98792,                   1,               0.995,             0.71262,             0.02262,            0.006936,          0.00060545,            0.009241,            0.009241,            0.009241
                  25,            0.025222,           0.0068015,            0.003716,              0.9861,                   1,               0.995,             0.71266,            0.022812,           0.0069951,          0.00060914,            0.009208,            0.009208,            0.009208
                  26,            0.024259,           0.0068067,            0.003939,             0.98346,                   1,               0.995,             0.65462,            0.026502,           0.0071667,          0.00058765,            0.009175,            0.009175,            0.009175
                  27,            0.024329,           0.0066348,           0.0036526,             0.99145,             0.99829,               0.995,             0.66918,            0.025915,           0.0073239,          0.00053762,            0.009142,            0.009142,            0.009142
                  28,            0.024777,           0.0067165,           0.0032882,             0.98353,                   1,               0.995,             0.67141,             0.02418,           0.0069633,          0.00060611,            0.009109,            0.009109,            0.009109
                  29,            0.024421,           0.0064134,           0.0038749,             0.99072,             0.99992,               0.995,             0.68733,            0.023842,           0.0070081,          0.00062655,            0.009076,            0.009076,            0.009076
                  30,            0.024616,           0.0065462,           0.0034308,             0.98406,                   1,               0.995,             0.66001,            0.026812,           0.0071248,          0.00064837,            0.009043,            0.009043,            0.009043
                  31,            0.025254,           0.0066432,           0.0034315,             0.98892,                   1,               0.995,             0.71162,            0.022722,           0.0070405,          0.00069806,             0.00901,             0.00901,             0.00901
                  32,            0.024044,           0.0065948,           0.0036285,             0.98507,                   1,               0.995,             0.71035,            0.024022,           0.0071094,          0.00066199,            0.008977,            0.008977,            0.008977
                  33,            0.024391,           0.0065525,           0.0033595,             0.97449,                   1,               0.995,             0.68697,            0.023431,           0.0068741,          0.00061437,            0.008944,            0.008944,            0.008944
                  34,            0.023886,           0.0063897,           0.0034354,             0.99011,                   1,               0.995,               0.735,            0.022663,           0.0070456,          0.00055108,            0.008911,            0.008911,            0.008911
                  35,            0.024355,           0.0067259,           0.0035088,             0.98954,                   1,               0.995,             0.71948,            0.024671,           0.0069634,          0.00058702,            0.008878,            0.008878,            0.008878
