               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014093,             0.02905,           0.0051412,             0.99772,                   1,               0.995,             0.89572,            0.015234,            0.025508,           0.0001901,            0.070155,           0.0033162,           0.0033162
                   1,            0.019882,            0.036246,            0.006834,             0.98532,             0.99888,               0.995,             0.87493,            0.017476,            0.027652,          0.00047682,            0.040133,           0.0066275,           0.0066275
                   2,            0.022623,            0.040532,            0.008112,             0.99635,             0.99929,             0.99495,             0.91517,            0.014147,            0.027862,          0.00070868,            0.010089,           0.0099169,           0.0099169
                   3,            0.023328,             0.04197,           0.0094106,             0.98765,             0.99912,             0.99415,             0.82058,            0.021694,            0.033286,          0.00072637,            0.009901,            0.009901,            0.009901
                   4,            0.023574,            0.042001,           0.0099767,             0.98452,             0.99293,             0.99267,             0.84411,            0.017374,            0.030373,           0.0010511,            0.009901,            0.009901,            0.009901
                   5,            0.024437,            0.045334,           0.0099478,             0.99637,             0.99796,             0.99494,             0.86996,            0.016288,            0.029616,          0.00085505,            0.009868,            0.009868,            0.009868
                   6,             0.02295,            0.042304,            0.010163,              0.9869,             0.99584,             0.99457,             0.86359,            0.015893,            0.029531,          0.00082137,            0.009835,            0.009835,            0.009835
                   7,            0.023227,            0.043852,            0.010089,             0.98864,             0.99472,             0.99488,             0.85589,            0.017205,            0.030605,           0.0007681,            0.009802,            0.009802,            0.009802
                   8,            0.022815,             0.04191,           0.0097833,             0.99531,             0.99797,             0.99481,             0.85621,            0.017987,              0.0308,          0.00072393,            0.009769,            0.009769,            0.009769
                   9,            0.022931,             0.04209,           0.0099197,              0.9954,             0.99956,               0.995,             0.86509,            0.016981,            0.029453,          0.00075253,            0.009736,            0.009736,            0.009736
                  10,            0.022129,            0.041108,            0.010671,             0.99278,             0.99949,             0.99499,             0.88502,            0.014889,            0.028901,          0.00085067,            0.009703,            0.009703,            0.009703
                  11,            0.022708,            0.040895,            0.010019,             0.99567,             0.99721,              0.9945,             0.89187,            0.014565,            0.028115,          0.00069341,             0.00967,             0.00967,             0.00967
                  12,            0.022185,            0.042745,            0.010167,              0.9953,             0.99936,               0.995,             0.89846,            0.013879,            0.027157,          0.00085993,            0.009637,            0.009637,            0.009637
                  13,            0.022629,            0.041685,             0.01014,             0.99428,             0.99878,             0.99499,             0.88881,            0.014578,             0.02841,          0.00072043,            0.009604,            0.009604,            0.009604
                  14,            0.022482,             0.04292,            0.010183,             0.99576,             0.99712,             0.99465,             0.89833,            0.013246,            0.027043,          0.00070684,            0.009571,            0.009571,            0.009571
                  15,            0.022389,            0.042422,           0.0097814,             0.98413,             0.99921,               0.995,             0.89944,            0.013836,             0.02713,          0.00068359,            0.009538,            0.009538,            0.009538
                  16,            0.021437,            0.041026,                0.01,             0.99708,             0.99933,               0.995,             0.88305,            0.015631,            0.029146,          0.00076423,            0.009505,            0.009505,            0.009505
                  17,            0.021567,            0.040657,           0.0097066,             0.99707,             0.99896,               0.995,             0.90669,            0.013268,            0.027133,          0.00073068,            0.009472,            0.009472,            0.009472
                  18,             0.02179,            0.039714,           0.0095832,             0.98524,             0.99686,             0.99361,              0.8971,            0.014871,            0.029439,           0.0010132,            0.009439,            0.009439,            0.009439
                  19,            0.021901,            0.041901,           0.0099804,             0.99577,             0.99933,             0.99499,             0.87838,            0.015458,            0.028434,          0.00071088,            0.009406,            0.009406,            0.009406
                  20,            0.021168,            0.040741,           0.0096752,             0.99363,             0.99967,               0.995,             0.86681,            0.016003,            0.029991,          0.00069148,            0.009373,            0.009373,            0.009373
                  21,            0.021849,             0.04276,           0.0094346,             0.99447,             0.99755,             0.99492,             0.91111,            0.013061,            0.026177,           0.0006654,             0.00934,             0.00934,             0.00934
                  22,             0.02132,            0.039039,           0.0097366,             0.99647,             0.99954,               0.995,             0.87187,            0.015638,            0.028381,          0.00066762,            0.009307,            0.009307,            0.009307
                  23,             0.02091,            0.040005,           0.0098285,             0.99656,             0.99901,               0.995,             0.90215,            0.013238,            0.026101,           0.0006869,            0.009274,            0.009274,            0.009274
                  24,            0.021027,            0.038868,           0.0095547,             0.99766,             0.99859,               0.995,             0.89232,            0.014757,            0.027659,           0.0006827,            0.009241,            0.009241,            0.009241
                  25,            0.020738,            0.040001,            0.009798,             0.99569,             0.99957,             0.99492,             0.91097,            0.012826,            0.026419,          0.00073875,            0.009208,            0.009208,            0.009208
                  26,            0.020914,            0.040951,            0.009733,             0.99529,             0.99991,               0.995,             0.89635,            0.013655,            0.027171,          0.00082469,            0.009175,            0.009175,            0.009175
                  27,            0.020271,            0.038414,           0.0096929,             0.99375,             0.99691,              0.9948,             0.91945,            0.012055,            0.024815,          0.00075725,            0.009142,            0.009142,            0.009142
                  28,            0.020921,             0.03962,           0.0095423,             0.99637,             0.99994,               0.995,             0.91274,            0.012193,            0.025207,          0.00061008,            0.009109,            0.009109,            0.009109
                  29,            0.021025,            0.040433,           0.0094166,             0.99598,             0.99967,               0.995,             0.90651,            0.012503,            0.024936,          0.00065046,            0.009076,            0.009076,            0.009076
                  30,            0.020438,            0.038604,           0.0092505,             0.99736,             0.99966,               0.995,             0.91143,            0.011525,            0.024922,          0.00063346,            0.009043,            0.009043,            0.009043
                  31,            0.020784,            0.040146,           0.0097836,              0.9951,             0.99825,               0.995,             0.89335,            0.012936,            0.025676,          0.00067641,             0.00901,             0.00901,             0.00901
                  32,            0.020162,            0.039427,            0.009316,             0.99602,             0.99922,               0.995,             0.92702,            0.010997,            0.023865,          0.00064385,            0.008977,            0.008977,            0.008977
                  33,            0.020134,            0.038638,           0.0095818,             0.99674,             0.99875,               0.995,             0.91907,             0.01213,            0.025296,          0.00062406,            0.008944,            0.008944,            0.008944
                  34,            0.019995,            0.037926,           0.0092467,             0.99738,             0.99978,               0.995,             0.92806,            0.011451,            0.024406,          0.00064535,            0.008911,            0.008911,            0.008911
                  35,            0.020595,            0.039483,           0.0092709,             0.99763,             0.99523,              0.9942,             0.90429,            0.012743,            0.026205,            0.000631,            0.008878,            0.008878,            0.008878
                  36,            0.020091,            0.037487,           0.0092034,             0.99615,             0.99954,               0.995,             0.90449,            0.012796,            0.025844,          0.00054722,            0.008845,            0.008845,            0.008845
                  37,            0.020063,            0.037977,           0.0095957,             0.99749,             0.99965,               0.995,             0.90645,            0.012273,            0.024956,          0.00068298,            0.008812,            0.008812,            0.008812
                  38,             0.02059,             0.03989,            0.009302,             0.98746,             0.99982,             0.99481,             0.89407,            0.014087,            0.026584,          0.00065623,            0.008779,            0.008779,            0.008779
                  39,             0.02021,            0.038916,           0.0094314,             0.99631,             0.99779,             0.99498,             0.92772,             0.01136,            0.023919,          0.00067953,            0.008746,            0.008746,            0.008746
                  40,            0.019782,            0.038332,           0.0088207,             0.99567,             0.99966,               0.995,             0.90906,            0.012512,            0.025405,          0.00059736,            0.008713,            0.008713,            0.008713
                  41,             0.01939,            0.036645,           0.0091889,             0.99768,                   1,               0.995,             0.91431,            0.012118,            0.024767,          0.00054535,             0.00868,             0.00868,             0.00868
                  42,            0.019339,            0.037709,           0.0091281,             0.99657,             0.99872,               0.995,             0.92073,            0.011777,             0.02436,          0.00060277,            0.008647,            0.008647,            0.008647
                  43,            0.019931,            0.038827,           0.0090164,             0.99727,             0.99737,             0.99481,              0.9359,            0.010386,            0.023818,          0.00057723,            0.008614,            0.008614,            0.008614
                  44,            0.019255,            0.036976,           0.0092283,             0.99825,             0.99872,               0.995,             0.92878,            0.010275,            0.023213,          0.00055674,            0.008581,            0.008581,            0.008581
                  45,            0.020142,            0.038357,           0.0095568,             0.99748,              0.9999,               0.995,             0.93871,              0.0105,            0.022851,          0.00060224,            0.008548,            0.008548,            0.008548
                  46,            0.019335,            0.036811,           0.0090707,              0.9956,             0.99959,               0.995,             0.93533,            0.010129,            0.022641,          0.00059261,            0.008515,            0.008515,            0.008515
                  47,            0.020177,            0.039924,           0.0088226,             0.99734,             0.99941,               0.995,             0.92907,             0.01116,            0.023649,          0.00052771,            0.008482,            0.008482,            0.008482
                  48,            0.019719,            0.038554,            0.008803,             0.99727,              0.9996,               0.995,             0.92994,            0.010469,            0.022859,          0.00053145,            0.008449,            0.008449,            0.008449
                  49,            0.018955,            0.036253,            0.009072,             0.99699,             0.99946,               0.995,             0.94275,            0.010448,            0.022419,          0.00061326,            0.008416,            0.008416,            0.008416
                  50,            0.018972,            0.036647,           0.0091562,             0.99754,                   1,               0.995,             0.92291,            0.011404,            0.023426,          0.00053446,            0.008383,            0.008383,            0.008383
                  51,            0.019404,            0.037293,           0.0089387,               0.998,                   1,               0.995,             0.93555,           0.0099755,            0.021998,          0.00054808,             0.00835,             0.00835,             0.00835
                  52,            0.019222,            0.037983,           0.0088897,             0.99744,             0.99991,               0.995,             0.92867,            0.010587,            0.022875,          0.00052097,            0.008317,            0.008317,            0.008317
                  53,            0.018946,            0.037247,           0.0090072,             0.99589,             0.99985,               0.995,             0.93637,            0.010016,            0.022021,          0.00054814,            0.008284,            0.008284,            0.008284
                  54,            0.019107,            0.038062,           0.0090051,             0.99765,             0.99993,               0.995,             0.93052,            0.010423,            0.022906,          0.00050067,            0.008251,            0.008251,            0.008251
                  55,            0.019396,            0.037392,           0.0086013,             0.99723,                   1,               0.995,             0.94267,            0.010053,            0.022553,          0.00051556,            0.008218,            0.008218,            0.008218
                  56,            0.018557,            0.036278,           0.0086065,              0.9975,             0.99915,               0.995,             0.93812,           0.0099828,            0.022048,           0.0005451,            0.008185,            0.008185,            0.008185
                  57,            0.018703,            0.036407,           0.0089023,             0.99736,                   1,               0.995,             0.95016,           0.0095503,            0.021623,          0.00047912,            0.008152,            0.008152,            0.008152
                  58,            0.018426,             0.03493,           0.0088963,             0.99698,                   1,               0.995,             0.92519,            0.010943,            0.023515,          0.00053173,            0.008119,            0.008119,            0.008119
                  59,            0.017987,            0.035246,           0.0091163,             0.99836,                   1,               0.995,              0.9496,           0.0096625,            0.021774,          0.00045176,            0.008086,            0.008086,            0.008086
                  60,            0.019287,            0.038132,           0.0086257,              0.9965,             0.99922,               0.995,             0.94434,           0.0095091,            0.021365,          0.00046184,            0.008053,            0.008053,            0.008053
                  61,            0.019102,             0.03664,           0.0089012,             0.99708,             0.99979,               0.995,             0.93187,            0.010674,            0.022531,          0.00046661,             0.00802,             0.00802,             0.00802
                  62,             0.01887,            0.037275,           0.0087465,             0.99696,             0.99974,               0.995,             0.92158,            0.010825,            0.022608,          0.00049213,            0.007987,            0.007987,            0.007987
                  63,            0.019509,             0.03813,           0.0090083,             0.99506,             0.99988,             0.99481,              0.9336,           0.0098229,            0.022213,          0.00047381,            0.007954,            0.007954,            0.007954
                  64,              0.0187,            0.037189,           0.0084895,              0.9963,              0.9998,               0.995,              0.9342,            0.010173,            0.022147,          0.00045114,            0.007921,            0.007921,            0.007921
                  65,            0.018181,             0.03649,            0.008975,             0.99625,             0.99946,             0.99495,              0.9435,            0.010056,            0.021899,           0.0004628,            0.007888,            0.007888,            0.007888
